ig;nmo;id
"2,29";"78,72";Branquinho
"2,16";"38,89";Jamapa
"1,31";"18,96";Puebla
"1,64";"33,24";1
"1,44";"29,84";2
"1,66";"39,16";3
"1,75";"43,28";4
"1,48";"15,46";5
"1,31";"39,84";6
"1,36";"16,06";7
"1,83";"43,22";9
"1,42";"17,71";10
"1,4";"21,47";11
"1,27";"25,58";12
"1,74";"19,73";13
"1,4";"16,01";14
"1,31";"16,19";15
"1,57";"44,87";16
"1,73";"27,21";17
"1,62";"21,95";18
"1,51";"25,97";19
"1,41";"37,45";20
"1,83";"52,22";21
"1,48";"38,18";22
"1,83";"40,21";23
"1,75";"24,36";24
"1,92";"61,27";25
"1,71";"37,59";26
"1,66";"23,32";27
"1,66";"37,49";29
"1,4";"19,39";30
"1,75";"22,89";31
"1,83";"36,09";32
"1,71";"25,75";33
"1,54";"22,12";34
"1,54";"21,07";35
"1,68";"28,22";36
"1,52";"27,82";37
"1,92";"39,29";38
"1,92";"38,98";39
"1,85";"43,96";40
"1,66";"45,4";41
"1,66";"42,48";42
"1,65";"50,53";43
"1,75";"37,07";44
"1,75";"41,07";45
"1,57";"36,71";46
"1,66";"27,41";47
"1,75";"40,51";48
"1,22";"28,05";49
"1,31";"29,7";50
"1,73";"30,56";51
"1,4";"21,78";52
"1,48";27;53
"1,57";"30,99";54
"1,47";"17,41";55
"1,4";"29,56";56
"1,66";"31,67";57
"1,22";"28,48";58
"1,48";"14,04";59
"1,48";"15,27";60
"1,53";"24,13";61
"1,48";"23,56";62
"1,66";"22,89";63
"1,66";"30,75";64
"1,83";"33,33";65
"2,27";"40,76";66
"1,83";"30,56";67
"1,83";"24,3";68
"1,48";"26,76";69
"2,1";"37,81";70
"1,84";"35,61";71
"1,75";"30,75";72
"1,66";"32,28";73
"2,1";"32,16";74
"1,46";"23,5";75
"1,66";"32,22";76
"1,66";"28,54";77
"1,36";"16,43";78
"1,57";"20,43";79
"1,55";"24,09";80
"1,83";"52,06";81
"1,66";"29,46";82
"1,36";"20,58";84
"1,84";"37,64";85
"1,73";"25,28";86
"1,82";"27,11";87
"1,48";"26,88";88
"1,6";"29,18";89
"1,52";"19,34";90
"1,42";"26,62";91
"1,44";"34,82";92
"2,1";"40,08";93
"2,1";"26,26";94
"1,83";"22,7";95
"1,83";"26,88";96
"1,4";"23,62";97
"2,19";"35,91";98
"1,57";"28,97";99
"1,4";"25,04";100
"2,19";"49,36";102
"1,75";"22,09";103
"2,01";"35,78";105
"1,83";"32,78";106
"1,83";"33,02";107
"1,66";"25,9";110
"1,57";"25,53";111
"1,75";"20,1";113
"1,84";"26,71";120
"1,43";"22,43";121
"1,57";"28,78";122
"1,54";"14,46";123
"1,41";"36,12";124
"1,83";"19,02";125
"2,19";"28,41";126
"1,83";"23,99";127
"1,45";"27,51";128
"1,74";"34,19";129
"1,55";"22,28";130
"1,66";"28,41";131
"1,48";"23,44";132
"1,65";"26,45";133
"1,57";"24,85";134
"1,66";"21,97";135
"1,4";"13,18";137
"1,75";"47,76";138
"1,54";"37,83";139
"1,44";"15,4";140
"1,47";"22,3";141
"1,82";"27,5";142
"2,1";"43,77";144
"1,48";"23,13";145
"1,4";"22,21";147
"1,75";"20,98";148
"1,22";"17,36";149
"1,66";"19,69";150
"1,75";"34,13";151
"2,45";"41,74";152
"1,92";"33,7";153
"1,48";"26,39";154
"2,1";"37,07";155
"1,4";"27,12";156
"1,66";"32,9";157
"1,63";"27,7";158
"1,63";"33,46";160
"1,57";"30,32";161
"1,92";"24,79";162
"1,94";"27,23";163
"1,84";"32,07";165
"1,92";"37,5";169
"1,83";"44,69";170
"1,83";"46,53";171
"1,4";"27,8";172
"1,94";"35,59";173
"1,66";"34,67";174
"1,46";"39,38";175
"1,64";"35,01";176
"1,46";"16,02";177
"1,92";"32,9";178
"1,83";"37,93";179
"1,41";"26,23";180
"1,63";"29,8";181
"1,83";"30,13";182
"1,66";"32,16";183
"1,4";"21,6";184
"1,66";"17,91";185
"1,36";"29,8";186
"1,57";"28,78";189
"1,66";"23,07";191
"1,46";"23,35";192
"1,56";"36,24";193
"2,27";"43,09";194
"1,31";"27,98";195
"1,94";"40,04";196
"1,94";"44,1";197
"1,65";"29,67";198
"1,66";"25,84";199
"1,4";"17,24";201
"1,56";"27,47";203
"1,27";"33,1";205
"1,66";"24,18";206
"1,92";"42,6";208
"1,94";"39,27";209
"1,66";"35,42";211
"1,57";"30,87";213
"1,46";"28,8";214
"1,31";"20,74";216
"1,4";"37,2";217
"1,83";"22,27";218
"1,92";"25,84";219
"1,84";"23,96";222
"1,83";"24,05";223
"2,04";"25,64";224
"1,57";"23,56";225
"1,66";"35,54";226
"2,04";"30,31";227
"1,92";"36,4";228
"1,83";"49,85";229
"1,66";"21,78";230
"1,94";"31,01";231
"1,92";"31,12";232
"1,83";"29,52";233
"1,57";"30,38";234
"1,48";"28,78";236
"1,92";"54,46";238
"1,83";"34,31";241
"1,57";"22,15";242
"1,45";"27,58";243
"1,66";"38,79";245
"1,75";"40,15";246
"1,55";"30,37";249
"1,75";"35,29";250
"1,4";"32,84";251
"1,57";"19,26";252
"1,28";"28,83";253
"1,75";"46,35";254
"1,35";"34,73";255
"1,48";"26,51";256
"2,01";"28,91";257
"1,94";"33,32";258
"1,75";"43,22";259
"1,57";"35,35";261
"1,83";"31,61";262
"1,92";"32,16";263
"1,75";"37,5";264
"2,19";"38,73";268
"1,82";"27,73";272
"1,75";"25,66";273
"1,48";"16,19";274
"1,92";"38,86";276
"1,4";"20,8";277
"1,57";"18,65";278
"1,83";"34,49";279
"1,92";"37,5";280
"1,64";"33,51";281
"1,74";"37,02";283
"1,85";"33,3";284
"2,02";"47,38";285
"1,66";"29,52";286
"1,66";"40,69";287
"1,66";"31,86";288
"1,85";"37,55";289
"1,66";"31,79";291
"1,4";"26,45";292
"1,66";"47,88";293
"1,31";"33,45";294
"1,83";"39,1";295
"1,48";"26,26";296
"1,31";"15,82";297
"1,57";"36,58";298
"1,51";"23,17";299
"2,1";"30,99";300
"1,75";"25,1";301
"1,22";20;302
"1,57";"29,7";303
"1,31";"30,13";304
"1,55";"27,04";305
"1,65";"35,74";306
"1,92";"67,97";307
"1,75";"32,41";308
"1,83";"46,29";309
"1,75";"26,88";310
"1,83";"30,56";311
"2,04";"27,82";312
"1,4";"47,21";313
"1,48";"36,09";314
"1,57";"35,78";315
"2,01";"35,11";316
"1,75";"30,69";317
"1,83";"30,38";318
"2,01";"35,17";319
"2,18";"41,97";320
"1,94";"47,3";321
"1,45";"26,53";322
"1,57";"29,64";323
"1,75";"29,03";324
"1,22";"13,92";325
"1,35";"12,96";327
"1,31";"14,66";328
"1,66";"25,47";329
"1,65";"31,11";330
"1,31";"27,31";331
"1,57";"21,29";334
"1,57";"26,08";335
"1,31";"16,75";337
"1,4";"25,41";346
"1,75";"26,08";347
"2,1";"21,11";349
"1,57";"20,37";350
"1,75";"27,43";351
"1,48";"21,66";352
"1,73";"19,36";355
"1,92";"29,15";357
"1,83";"39,35";359
"1,75";"38,24";360
"2,04";"18,44";361
"1,83";"33,02";362
"1,75";"36,46";365
"1,75";"49,11";368
"2,01";"33,64";369
"2,27";"60,29";370
"1,75";"25,59";371
"1,57";"17,67";372
"1,75";"34,92";375
"1,92";"38,43";376
"1,92";"33,02";377
"1,75";"26,88";378
"1,4";"30,81";379
"1,84";"30,7";381
"1,92";"27,22";382
"1,54";"36,12";383
"1,54";"25,65";384
"1,83";"24,93";385
"1,75";"25,9";386
"1,48";"29,03";387
"1,83";"35,66";388
"1,31";"17,42";389
"1,65";"28,23";390
"1,36";"25,35";392
"1,85";"27,8";393
"1,85";"30,03";394
"1,27";"31,66";395
"1,92";"29,89";396
"1,57";"25,41";398
"1,36";"16,3";399
"1,31";"14,72";400
"1,75";"25,44";401
"1,66";"37,93";402
"1,75";"29,46";403
"1,48";"25,1";404
"1,4";"13,67";405
"1,48";"19,2";406
"1,75";"26,63";407
"1,31";"21,97";410
"1,3";"18,61";411
"1,66";"25,16";412
"1,57";"33,57";413
"1,57";"18,71";414
"1,31";"22,58";417
"1,75";"41,5";418
"1,66";"34,92";419
"1,48";27;420
"1,57";"34,19";421
"1,46";"40,84";422
"1,75";"35,48";423
"2,36";"41,13";424
"1,57";"33,02";425
"1,83";"29,83";426
"1,75";"42,11";427
"1,4";"13,12";428
"1,4";"19,02";431
"1,35";"22,25";433
"1,75";"30,01";434
"1,4";"19,08";435
"1,66";"36,52";436
"1,57";"32,78";437
"1,71";"25,77";438
"1,63";"19,78";439
"1,63";"28,09";440
"1,73";"44,85";441
"1,28";"22,67";442
"1,62";27;443
"1,37";"18,84";444
"1,43";"23,43";445
"2,17";"41,58";446
"1,45";"29,21";447
"1,43";"32,32";448
"1,58";"22,4";Tybata
